# Sims 2 GC Decomp — TU Work Queue
# Generated: 2026-03-29
# 439 TUs | 4654/16211 matched (28%)
# Unmatched functions: 11557
#
# Size distribution (unmatched):
#   <=20 bytes  (getter/setter tier): 517
#   <=100 bytes (easy grind tier):    4355
#   <=500 bytes (medium tier):        9993
#   >500 bytes  (complex tier):       1564
#
# Sorted by TU completion % DESC (closest-to-done first = easiest wins)
# TU_NAME | FUNC_ADDRESS | SIZE | FUNC_NAME | TU_COMPLETION_%
#==========================================================================================

e_redithtreeset | 0x8030F9D0 |    44 | EREdithTreeSet::GetTreeIDByIndex(int) | 63.0%
e_redithtreeset | 0x8030FAEC |    48 | EREdithTreeSet::New(void) | 63.0%
e_redithtreeset | 0x8030F580 |    52 | EREdithTreeSet::Write(EStream &) | 63.0%
e_redithtreeset | 0x8030F5B4 |    52 | EREdithTreeSet::Read(EStream &) | 63.0%
e_redithtreeset | 0x8030F484 |    72 | EREdithTreeSet::EREdithTreeSet(void) | 63.0%
e_redithtreeset | 0x8030F528 |    88 | EREdithTreeSet::Deallocate(void) | 63.0%
e_redithtreeset | 0x8030F4CC |    92 | EREdithTreeSet::~EREdithTreeSet(void) | 63.0%
e_redithtreeset | 0x8030F964 |   108 | EREdithTreeSet::GetBehaviorTree(int) | 63.0%
e_redithtreeset | 0x8030F9FC |   128 | EREdithTreeSet::GetTreeIDByName(char *) | 63.0%
e_redithtreeset | 0x8030F5E8 |   892 | EREdithTreeSet::Load(EFile *, unsigned int) | 63.0%

# --- e_movie [5/8, 62.5%] ---
e_movie | 0x80364D24 |    20 | EMovie::EMovie(void) | 62.5%
e_movie | 0x80364CF0 |    52 | EMovie::~EMovie(void) | 62.5%
e_movie | 0x80364C24 |   168 | EMovie::Update(void) | 62.5%

# --- e_idirlight [15/25, 60.0%] ---
e_idirlight | 0x80227418 |    12 | EIDirLight::GetTypeInfo(void) const | 60.0%
e_idirlight | 0x80227424 |    12 | EIDirLight::GetTypeName(void) const | 60.0%
e_idirlight | 0x80227430 |    12 | EIDirLight::GetTypeKey(void) const | 60.0%
e_idirlight | 0x8022743C |    12 | EIDirLight::GetTypeVersion(void) const | 60.0%
e_idirlight | 0x80227448 |    12 | EIDirLight::GetTypeInfoStatic(void) | 60.0%
e_idirlight | 0x80227454 |    12 | EIDirLight::GetReadVersion(void) | 60.0%

# --- e_animnodedatapos [6/10, 60.0%] ---
e_animnodedatapos | 0x803CA8CC |    16 | EAnimNodeDataPos::Destruct(EAnimNodeDataPos *) | 60.0%
e_animnodedatapos | 0x803CA8DC |    28 | EAnimNodeDataPos::EAnimNodeDataPos(void) | 60.0%

# --- e_idirlight [15/25, 60.0%] ---
e_idirlight | 0x80227108 |    60 | EIDirLight::Write(EStream &) | 60.0%
e_idirlight | 0x80227144 |    76 | EIDirLight::Read(EStream &) | 60.0%

# --- e_resprefetchfile [9/15, 60.0%] ---
e_resprefetchfile | 0x80312FB0 |    88 | EResPrefetchFile::EResPrefetchFile(void) | 60.0%
e_resprefetchfile | 0x8031323C |    92 | EResPrefetchFile::SetStreamBuffer(EResourceManager *, char *, void *, unsigned int, unsigned int) | 60.0%
e_resprefetchfile | 0x803131D0 |   108 | EResPrefetchFile::Seek(int, EFile::SeekType) | 60.0%
e_resprefetchfile | 0x80313008 |   112 | EResPrefetchFile::~EResPrefetchFile(void) | 60.0%
