# Decomp Progress Matrix
# Total: 3861 matched / 20508 functions
# Coverage: 18.8%

TU Name                                  Matched Total      %  Bar
engine_ngc_release_dvd.lib(e_ngcraudiosample)    3/10    30.0%  [###############...................................]
engine_ngc_release_dvd.lib(e_ngcrc)         7/70    10.0%  [#####.............................................]
engine_ngc_release_dvd.lib(e_ngcrenderer)   13/137    9.5%  [####..............................................]
engine_ngc_release_dvd.lib(e_ngcrenderer_unused)    1/21     4.8%  [##................................................]
engine_ngc_release_dvd.lib(e_ngcrenderstatecache)    0/7      0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_ngcrendersurface)    2/12    16.7%  [########..........................................]
engine_ngc_release_dvd.lib(e_ngcsamplestream)    0/21     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_ngcscheduler)    5/20    25.0%  [############......................................]
engine_ngc_release_dvd.lib(e_ngcshader)     1/10    10.0%  [#####.............................................]
engine_ngc_release_dvd.lib(e_ngcstream)     0/27     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_ngctexture)    2/24     8.3%  [####..............................................]
engine_ngc_release_dvd.lib(e_ngctexturebase)    7/22    31.8%  [###############...................................]
engine_ngc_release_dvd.lib(e_ngctexturec4)    1/7     14.3%  [#######...........................................]
engine_ngc_release_dvd.lib(e_ngctexturec4_32)    3/12    25.0%  [############......................................]
engine_ngc_release_dvd.lib(e_ngctexturec8)    1/8     12.5%  [######............................................]
engine_ngc_release_dvd.lib(e_ngctexturec8_32)    3/14    21.4%  [##########........................................]
engine_ngc_release_dvd.lib(e_ngctexturecmpr)    2/7     28.6%  [##############....................................]
engine_ngc_release_dvd.lib(e_ngctexturergb5a3)    1/8     12.5%  [######............................................]
engine_ngc_release_dvd.lib(e_ngctexturergba8)    1/8     12.5%  [######............................................]
engine_ngc_release_dvd.lib(e_ngctextureutil)    0/8      0.0%  [..................................................]
engine_ngc_release_dvd.lib(effect)          0/5      0.0%  [..................................................]
engine_ngc_release_dvd.lib(effectsfunctions)    2/8     25.0%  [############......................................]
engine_ngc_release_dvd.lib(effectsmanager)    2/20    10.0%  [#####.............................................]
engine_ngc_release_dvd.lib(effectsmath)     3/6     50.0%  [#########################.........................]
engine_ngc_release_dvd.lib(fastparticleemitter)    7/37    18.9%  [#########.........................................]
engine_ngc_release_dvd.lib(frameeffects)    1/24     4.2%  [##................................................]
engine_ngc_release_dvd.lib(frameeffectsmanager)    3/6     50.0%  [#########################.........................]
engine_ngc_release_dvd.lib(frameeffectsngc)    0/12     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_allocgroup)    2/8     25.0%  [############......................................]
engine_ngc_release_dvd.lib(e_config)        0/20     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_dataheader)    3/11    27.3%  [#############.....................................]
engine_ngc_release_dvd.lib(e_floattree)     0/22     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_growpool)      1/8     12.5%  [######............................................]
engine_ngc_release_dvd.lib(e_msgqueue)      0/13     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_ncamera)       4/16    25.0%  [############......................................]
engine_ngc_release_dvd.lib(e_rotdecomp)     0/14     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_rtquantize4d)    2/34     5.9%  [##................................................]
engine_ngc_release_dvd.lib(e_stringredblacktreenocase)    0/26     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_stringtablenocase)    0/26     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_vec4)          2/6     33.3%  [################..................................]
engine_ngc_release_dvd.lib(scalardecomp)    0/12     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_dl)            2/16    12.5%  [######............................................]
engine_ngc_release_dvd.lib(e_fontdata)     18/85    21.2%  [##########........................................]
