# CBMemberTranslator Type Table
# Generated: 04/07/2026 06:03:56
# Format: ADDR  SIZE  TEMPLATE_TYPE  T_PARAM  M_SIGNATURE

0x802af060  120  CBMemberTranslator2  char_*  char_*)
0x802aef70  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802aefe8  120  CBMemberTranslator1wRet  char_*(CASFashionTarget::*)(CASFashionTarget_*  char_*)
0x802af330  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802af3a8  120  CBMemberTranslator0  ?  ?
0x802af2b8  120  CBMemberTranslator2  char_*  char_*)
0x802af1c8  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802af240  120  CBMemberTranslator1wRet  char_*(CASMiscTarget::*)(CASMiscTarget_*  char_*)
0x802aec28  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802aeca0  120  CBMemberTranslator0  ?  ?
0x802aebb0  120  CBMemberTranslator2  char_*  char_*)
0x802aeac0  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802aeb38  120  CBMemberTranslator1wRet  char_*(CASGeneticsTarget::*)(CASGeneticsTarget_*  char_*)
0x802aee80  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CASSelectionTarget::*)(CASSelectionTarget_*  char_*)
0x802aeef8  120  CBMemberTranslator0  ?  ?
0x802aee08  120  CBMemberTranslator2  char_*  char_*)
0x802aed18  120  CBMemberTranslator1  void_(CASGeneticsTarget::*)(CASGeneticsTarget_*  ERC_*)
0x802aed90  120  CBMemberTranslator1wRet  char_*(CASSelectionTarget::*)(CASSelectionTarget_*  char_*)
0x80291774  120  CBMemberTranslator2  char_*  char_*)
0x80274fec  120  CBMemberTranslator0  ?  ?
0x80275064  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x80274f74  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x80274e84  120  CBMemberTranslator1wRet  char_*(FlowGotoTarget::*)(FlowGotoTarget_*  char_*)
0x80274efc  120  CBMemberTranslator2  char_*  char_*)
0x802775cc  120  CBMemberTranslator0  ?  ?
0x80277644  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x80277554  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x80277464  120  CBMemberTranslator1wRet  char_*(UIQDTarget::*)(UIQDTarget_*  char_*)
0x802774dc  120  CBMemberTranslator2  char_*  char_*)
0x8026ccdc  120  CBMemberTranslator0  ?  ?
0x8026e190  120  CBMemberTranslator0  ?  ?
0x8026cc64  120  CBMemberTranslator1  void_(HelpDialog::*)(HelpDialog_*  int)
0x8013e628  120  CBMemberTranslator1  void_(EdithDialogPrimitive::*)(EdithDialogPrimitive_*  int)
0x8013e6a0  120  CBMemberTranslator0  ?  ?
0x802736f4  120  CBMemberTranslator0  ?  ?
0x8027376c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8027367c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8027358c  120  CBMemberTranslator1wRet  char_*(UIDBTarget::*)(UIDBTarget_*  char_*)
0x80273604  120  CBMemberTranslator2  char_*  char_*)
0x8027b4e8  120  CBMemberTranslator1wRet  char_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8027da44  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8028d420  120  CBMemberTranslator1wRet  char_*(HUDTarget::*)(HUDTarget_*  char_*)
0x8027d9cc  120  CBMemberTranslator0  ?  ?
0x8027d8dc  120  CBMemberTranslator2  char_*  char_*)
0x8027d954  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8028d600  120  CBMemberTranslator1  void_(HUDTarget::*)(HUDTarget_*  ERC_*)
0x802916fc  120  CBMemberTranslator1wRet  char_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8028d588  120  CBMemberTranslator0  ?  ?
0x8028d498  120  CBMemberTranslator2  char_*  char_*)
0x8028d510  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(HUDTarget::*)(HUDTarget_*  char_*)
0x8027b6c8  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8027d60c  120  CBMemberTranslator1wRet  char_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8027b650  120  CBMemberTranslator0  ?  ?
0x8027b560  120  CBMemberTranslator2  char_*  char_*)
0x8027b5d8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8027d7ec  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8027d864  120  CBMemberTranslator1wRet  char_*(UIAnalog::*)(UIAnalog_*  char_*)
0x8027d774  120  CBMemberTranslator0  ?  ?
0x8027d684  120  CBMemberTranslator2  char_*  char_*)
0x8027d6fc  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8031a710  120  CBMemberTranslator1wRet  char_*(FAMTarget::*)(FAMTarget_*  char_*)
0x8031a788  120  CBMemberTranslator2  char_*  char_*)
0x8031a574  120  CBMemberTranslator0  ?  ?
0x8031a484  120  CBMemberTranslator2  ERC_*  structDrawCBparams_*)
0x8031a4fc  120  CBMemberTranslator1  void_(E2ETarget::*)(E2ETarget_*  int)
0x8031a968  120  CBMemberTranslator1  void_(FAMTarget::*)(FAMTarget_*  int)
0x8031a9e0  120  CBMemberTranslator1wRet  char_*(FCMTarget::*)(FCMTarget_*  char_*)
0x8031a8f0  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031a800  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(FAMTarget::*)(FAMTarget_*  char_*)
0x8031a878  120  CBMemberTranslator0  ?  ?
0x8031a40c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031a0b4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CSPTarget::*)(CSPTarget_*  char_*)
0x8031a12c  120  CBMemberTranslator0  ?  ?
0x8031a03c  120  CBMemberTranslator2  char_*  char_*)
0x80319f4c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x80319fc4  120  CBMemberTranslator1wRet  char_*(CSPTarget::*)(CSPTarget_*  char_*)
0x8031a31c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(E2ETarget::*)(E2ETarget_*  char_*)
0x8031a394  120  CBMemberTranslator0  ?  ?
0x8031a2a4  120  CBMemberTranslator2  char_*  char_*)
0x8031a1a4  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031a22c  120  CBMemberTranslator1wRet  char_*(E2ETarget::*)(E2ETarget_*  char_*)
0x8031b134  120  CBMemberTranslator1wRet  char_*(INGTarget::*)(INGTarget_*  char_*)
0x8031b1ac  120  CBMemberTranslator2  char_*  char_*)
0x8031b0bc  120  CBMemberTranslator1  void_(H2DTarget::*)(H2DTarget_*  ERC_*)
0x8031afcc  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(H2DTarget::*)(H2DTarget_*  char_*)
0x8031b044  120  CBMemberTranslator0  ?  ?
0x8031b38c  120  CBMemberTranslator1  void_(INGTarget::*)(INGTarget_*  int)
0x8031b404  120  CBMemberTranslator0  ?  ?
